"company","category","size","title","level","city","url","updated"
"Mobileye","Automotive","l","Senior ML Data Engineering","Scientist","ירושלים","https://il.linkedin.com/jobs/view/senior-ml-data-engineering-at-mobileye-4402132278?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Cellebrite","Cybersecurity","l","AI Engineer","Scientist","פתח תקווה","https://www.comeet.com/jobs/Cellebrite/C3.00F/ai-engineer/8D.D57?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"CEVA","Productivity","l","AI Embedded Graph Compiler MidEnd Engineer","Scientist","הרצליה","https://www.comeet.com/jobs/ceva/76.005/ai-embedded-graph-compiler-midend-engineer/84.864?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"EcoPlant","Sustainable Technology","s","Senior AI Engineer","Scientist","גבים","https://il.linkedin.com/jobs/view/senior-ai-engineer-at-ecoplant-4384826040?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"abra","Productivity","l","AI Engineer","Scientist","רעננה","https://il.linkedin.com/jobs/view/ai-engineer-at-abra-4401183793?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"Google","Digital Media","xl","Customer Engineer, AI/ML, Google Cloud","Scientist","תל אביב-יפו","https://il.linkedin.com/jobs/view/customer-engineer-ai-ml-google-cloud-at-google-4389564852?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"Meta","Digital Media","xl","Software Engineer, Machine Learning","Scientist","תל אביב-יפו","https://il.linkedin.com/jobs/view/software-engineer-machine-learning-at-meta-4254318543?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"Transmit Security","Cybersecurity","l","AI Backend Engineer","Scientist","תל אביב-יפו","https://il.linkedin.com/jobs/view/ai-backend-engineer-at-transmit-security-4364295050?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"ForSight Robotics","Robotics & Automation","m","Junior Algorithm Engineer","Scientist","יוקנעם עילית","https://il.linkedin.com/jobs/view/junior-algorithm-engineer-at-forsight-robotics-4399951313?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"Bria AI","Productivity","s","Gen-AI Applied Researcher","Scientist","תל אביב-יפו","https://il.linkedin.com/jobs/view/gen-ai-applied-researcher-at-bria-ai-4402281973?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"Navan","E-commerce & Retail","l","Backend Engineer - AI Solutions","Scientist","תל אביב-יפו","https://il.linkedin.com/jobs/view/backend-engineer-ai-solutions-at-navan-4204803730?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"Amdocs","Telecommunications","l","Data AI Engineer","Scientist","רעננה","https://il.linkedin.com/jobs/view/data-ai-engineer-at-amdocs-4399103004?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"Marketeam.ai","Digital Media","s","Junior Data Scientist","Scientist","הרצליה","https://il.linkedin.com/jobs/view/junior-data-scientist-at-marketeam-ai-4402631720?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"Intuit","Fintech","xl","Staff ML Engineer, Foresight","Scientist","פתח תקווה","https://il.linkedin.com/jobs/view/staff-ml-engineer-foresight-at-intuit-4389572775?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"CyberArk","Cybersecurity","l","Team Manager Engineering - Secure Agentic AI","Manager","פתח תקווה","https://il.linkedin.com/jobs/view/team-manager-engineering-secure-agentic-ai-at-cyberark-4389572451?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"Dream Security","Cybersecurity","m","AI Engineering Team Lead - Applied AI Engineering Group","Manager","רמת גן","https://il.linkedin.com/jobs/view/ai-engineering-team-lead-applied-ai-engineering-group-at-dream-4364286736?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"Samsung Semiconductors","Semiconductors","xl","Leading Computer Vision Algorithm Engineer","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/leading-computer-vision-algorithm-engineer-at-samsung-semiconductor-4368176064?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"Intel","Semiconductors","l","Engineering Student for Intel Kiryat Gat (System Operations & AI Automation)","Student","קרית גת","https://il.linkedin.com/jobs/view/engineering-student-for-intel-kiryat-gat-system-operations-ai-automation-%E2%80%8B-%E2%80%8B-at-intel-4401429877?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"Samsung Semiconductors","Semiconductors","xl","Senior Architect – Deep Learning Accelerators","Scientist","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-architect-%E2%80%93-deep-learning-accelerators-at-samsung-semiconductor-4384157901?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"Samsung Semiconductors","Semiconductors","xl","Senior Deep Learning Compiler Engineer","Scientist","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-deep-learning-compiler-engineer-at-samsung-semiconductor-4380353515?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"abra","Productivity","l","AI Reliability Engineer","Scientist","רעננה","https://il.linkedin.com/jobs/view/ai-reliability-engineer-at-abra-4402557353?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"Fetcherr","AI/ML","m","ML Engineer","Scientist","נתניה","https://www.comeet.com/jobs/fetcherr/68.006/ml-engineer/23.46A?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-14"
