"company","category","size","title","level","city","url","updated"
"Wix","E-commerce & Retail","l","Designer","Designer","מתחם גלילות","https://il.linkedin.com/jobs/view/designer-at-wix-4389747780?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-08"
"Wiz","Cybersecurity","l","Senior Brand Designer","Designer","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-brand-designer-at-wiz-4348042645?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-08"
"Cisco Systems","Telecommunications","l","ASIC Design Engineer  - Cisco Silicon One","Designer","נתניה","https://il.linkedin.com/jobs/view/asic-design-engineer-cisco-silicon-one-at-cisco-4335414625?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-08"
"ARM","Semiconductors","m","Senior Logic Design Engineer","Designer","רעננה","https://il.linkedin.com/jobs/view/senior-logic-design-engineer-at-arm-4395950413?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-08"
"Wolt","E-commerce & Retail","xl","(GA Part Time, Rehovot) מלקטים חצי משרה - רחובות","Designer","תל אביב-יפו","https://il.linkedin.com/jobs/view/ga-part-time-rehovot-%D7%9E%D7%9C%D7%A7%D7%98%D7%99%D7%9D-%D7%97%D7%A6%D7%99-%D7%9E%D7%A9%D7%A8%D7%94-%D7%A8%D7%97%D7%95%D7%91%D7%95%D7%AA-at-wolt-4374840688?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-08"
"Ceragon Networks","Telecommunications","l","Mechanical Design Engineer","Designer","ראש העין","https://www.comeet.com/jobs/Ceragon/D3.003/mechanical-design-engineer/59.668?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Cisco Systems","Telecommunications","l","IC Package Layout Designer","Designer","נתניה","https://il.linkedin.com/jobs/view/ic-package-layout-designer-at-cisco-4398531733?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Skai","AdTech","l","Senior User Experience Designer","Designer","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-user-experience-designer-at-skai-4376767930?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Wix","E-commerce & Retail","l","UX Writer – DeviantArt (Temp Position)","Designer","מתחם גלילות","https://il.linkedin.com/jobs/view/ux-writer-%E2%80%93-deviantart-temp-position-at-wix-4389471658?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Google","Digital Media","xl","Design Technology Co-Optimization Engineer","Designer","תל אביב-יפו","https://il.linkedin.com/jobs/view/design-technology-co-optimization-engineer-at-google-4395433563?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
